town_id,raw_id,sta,lat,lon
166,I11,水道橋駅,35.703529,139.755082
167,I12,春日駅,35.709605,139.75325
168,I13,白山駅,35.721411,139.752134
169,I14,千石駅,35.727959,139.744801
170,I16,西巣鴨駅,35.743502,139.728716
171,I17,新板橋駅,35.748785,139.720106
172,I18,板橋区役所前駅,35.75129,139.710107
173,I19,板橋本町駅,35.761342,139.705533
174,I20,本蓮沼駅,35.768788,139.702323
175,I21,志村坂上駅,35.775728,139.695379
176,I22,志村三丁目駅,35.777481,139.685897
177,I23,蓮根駅,35.784175,139.679041
178,I24,西台駅,35.786992,139.673966
179,I25,高島平駅,35.788829,139.661167
180,I26,新高島平駅,35.790293,139.654266
181,I27,西高島平駅,35.791934,139.645892
182,S03,曙橋駅,35.692406,139.722877
183,S07,小川町駅,35.695232,139.767463
184,S08,岩本町駅,35.695541,139.775872
185,S09,馬喰横山駅,35.692121,139.782778
186,S10,浜町駅,35.688514,139.788156
187,S11,森下駅,35.68796,139.797045
188,S12,菊川駅,35.688383,139.806014
189,S14,西大島駅,35.689346,139.826211
190,S15,大島駅,35.689912,139.83565
191,S16,東大島駅,35.690344,139.845958
192,S17,船堀駅,35.683745,139.864315
193,S18,一之江駅,35.686052,139.882929
194,S19,瑞江駅,35.693321,139.897612
195,E28,都庁前駅,35.690553,139.692573
196,E28,都庁前駅,35.690553,139.692573
197,E01,新宿西口駅,35.693315,139.699155
198,E02,東新宿駅,35.697922,139.707545
199,E03,若松河田駅,35.699218,139.718185
200,E04,牛込柳町駅,35.699521,139.725025
201,E05,牛込神楽坂駅,35.700852,139.735807
202,E09,上野御徒町駅,35.707887,139.774332
203,E10,新御徒町駅,35.70705,139.781944
204,E11,蔵前駅,35.705552,139.792314
205,E12,両国駅,35.696885,139.797431
206,E17,勝どき駅,35.65851,139.77644
207,E18,築地市場駅,35.664902,139.766926
208,E19,汐留駅,35.662792,139.759848
209,E21,赤羽橋駅,35.655006,139.743648
210,E22,麻布十番駅,35.656494,139.736119
